STC,DCArrayOutput_W_,Vmp,Imp,CellTemperature_C_,PlaneOfArrayIrradiance_W_m_2_,Fill Factor,Gamma,Pmp,Voc,Isc,,
1,8591.464,37.32011966,2.429994233,27.469,500.466,2.46213452,0.181206467,90.68767556,43.72827068,5.106199103,,
1,11468.834,35.46964544,3.413056797,39.496,692.45,1.743329255,0.174828384,121.0599144,45.3167873,4.657154732,,
1,12712.547,33.65255884,3.987452982,51.306,810.369,1.731756732,0.165588758,134.1879961,44.23330323,5.25352955,,
1,13237.721,33.20990362,4.207524991,54.183,855.604,1.64209126,0.163313284,139.7314994,44.88553499,5.111933589,,
1,13076.335,34.11721604,4.045698817,48.286,819.924,1.679318865,0.168342408,138.0279806,43.91005814,5.278813134,,
1,11569.744,34.73142516,3.516270208,44.294,714.877,1.896513276,0.17083369,122.1250756,43.56280962,5.316732993,,
1,8522.305,35.0943809,2.563306763,41.935,530.798,2.486743026,0.169476268,89.95766389,43.19921591,5.178371612,,
1,4656.535,36.94439354,1.330440405,29.911,291.295,4.844006829,0.168737239,49.15231389,44.98285258,5.292997898,,
1,4177.017,36.42773166,1.210361804,16.731,248.471,5.091033689,0.177448213,44.090735,45.08812542,4.978415385,,
1,8372.628,37.153797,2.378700083,28.55,490.087,2.691929977,0.180330717,88.37774,44.70679644,5.321488153,,
1,11392.126,35.66335518,3.371814522,38.237,683.355,1.965207779,0.175970351,120.2502189,44.20172853,5.346321818,,
1,13222.868,34.68142066,4.024480979,44.619,813.707,1.656092808,0.171529454,139.5747178,44.28881089,5.219121525,,
1,13802.275,34.261229,4.252348348,47.35,860.047,1.593399728,0.16939851,145.6906806,44.86087531,5.174742785,,
1,13539.47,35.02098968,4.080884895,42.412,823.371,1.509684917,0.173575008,142.9166278,43.48853956,4.961285882,,
1,11799.374,35.46687596,3.511697729,39.514,711.271,1.87927872,0.175107586,124.5489478,45.03808432,5.196983634,,
1,8682.957,36.0852393,2.539914845,35.495,523.037,2.363737973,0.175233177,91.653435,43.19922613,5.015013556,,
1,4548.971,37.16010526,1.292163081,28.509,281.009,4.675832452,0.170873232,48.01691611,44.26719362,5.071906219,,
1,4035.068,35.76705682,1.190827209,12.437,234.217,4.913208041,0.181850098,42.59238444,41.36767358,5.058666046,,
1,8546.71,37.17779916,2.426589907,21.606,483.668,2.539006398,0.186523136,90.21527222,42.67027577,5.368072956,,
1,11874.074,36.94700916,3.392357071,29.894,683.603,1.840740657,0.1833483,125.3374478,43.31373529,5.326572148,,
1,13907.528,36.10124074,4.066388895,35.391,816.675,1.419322516,0.17975533,146.8016844,44.21261309,4.712658257,,
1,14406.532,35.31717018,4.305807858,40.487,866.408,1.487271775,0.175516557,152.0689489,45.57404558,4.962646011,,
1,13938.011,35.40779372,4.155114849,39.898,836.759,1.588063103,0.175825356,147.1234494,45.54360853,5.130057305,,
1,12163.123,35.85660334,3.580610225,36.981,723.807,1.9719176,0.177379496,128.3885206,44.19944187,5.727936206,,
1,9019.319,36.29818154,2.622828989,34.111,539.459,2.372498994,0.176480368,95.20392278,45.4498801,4.969676718,,
1,4886.898,37.33058214,1.381814062,27.401,300.638,4.641749218,0.171581514,51.58392333,44.20183447,5.416961505,,
1,1715.102,34.83343434,0.519726372,6.369,90.446,12.50590679,0.200162024,18.10385444,43.62008792,5.190386516,,
1,5250.37,36.34387796,1.524894297,16.186,285.803,4.174748373,0.193911793,55.42057222,43.20006714,5.355707966,,
1,11711.494,36.20940432,3.414066812,34.688,690.266,1.942170166,0.1790923,123.6213256,45.23540715,5.307648709,,
1,12946.421,34.2273798,3.992612549,47.57,808.857,1.700091511,0.168950341,136.6566661,43.13837216,5.38566539,,
1,13481.056,33.78026264,4.212520106,50.476,853.909,1.624919219,0.166645434,142.3000356,43.62073104,5.300829609,,
1,8852.061,35.08145666,2.663470408,42.019,536.028,2.472293731,0.174316307,93.43842167,45.7640289,5.047790365,,
1,11781.297,35.3582508,3.517089567,40.22,712.393,1.860850208,0.174563949,124.358135,43.90924423,5.270231028,,
1,8888.597,36.346032,2.581411898,33.8,530.482,2.478596982,0.176865717,93.82407944,43.40417349,5.357827634,,
1,3972.279,37.08640632,1.130592468,21.012,233.992,5.334062518,0.179192501,41.92961167,42.5735918,5.253377987,,
1,4375.556,35.86352704,1.287838321,13.064,256.799,4.804584086,0.179854378,46.18642444,45.35047741,4.893147163,,
1,8710.409,37.62583948,2.443618731,24.518,500.476,2.426234262,0.183711519,91.94320611,45.43413595,4.909871228,,
1,11658.836,35.90260748,3.427759145,36.682,694,1.826325066,0.177327797,123.0654911,43.9407366,5.115016466,,
1,13350.396,34.96452306,4.030395222,42.779,813.594,1.643425754,0.173207824,140.9208467,44.12529818,5.248529942,,
1,13884.497,34.56525636,4.240054751,45.374,856.099,1.673219124,0.171193494,146.5585794,46.24623229,5.302585871,,
1,9997.097,35.51395712,2.971364538,39.208,596.982,2.093966225,0.176763977,105.5249128,44.29612722,4.988372959,,
1,11871.98,35.28855222,3.551161398,40.673,719.459,1.790529904,0.174179966,125.3153444,43.64753511,5.140745545,,
1,6151.846,36.2044808,1.79359435,34.72,365.302,3.593519213,0.177760188,64.93615222,45.1064596,5.1733014,,
1,4891.866,37.39797282,1.380726265,26.963,299.647,4.249937109,0.172323979,51.63636333,44.19197319,4.965863275,,
1,1817.223,35.18315812,0.54519831,8.642,97.394,11.67664876,0.196950514,19.18179833,43.41498607,5.15902784,,
1,6009.913,36.93208474,1.717692651,20.009,334.232,3.733092265,0.189802205,63.43797056,44.11270567,5.368516703,,
1,4155.096,37.5607567,1.16769071,24.095,230.308,5.260353641,0.190437791,43.85934667,43.64134185,5.286631074,,
1,7795.738,36.43880958,2.258261082,33.197,451.522,2.925065093,0.182246592,82.28834556,44.19548333,5.44623,,
1,10843.185,34.85112824,3.284135907,43.516,661.485,1.919907364,0.173028628,114.4558417,44.43221503,4.945614644,,
1,8622.889,35.19808254,2.585918815,41.261,519.976,2.711903305,0.175045356,91.01938389,44.12125626,5.594486398,,
1,8122.438,36.446041,2.352432341,33.15,472.064,2.798659864,0.181621233,85.73684556,46.08585987,5.206548586,,
1,5802.179,37.43951502,1.635844448,26.693,330.694,3.651935649,0.185202099,61.24522278,43.78054245,5.108744658,,
1,1153.338,36.06308346,0.337578548,14.361,61.023,18.27408135,0.199500571,12.17412333,43.59839051,5.102732406,,
1,479.422,35.04791518,0.144389917,7.763,24.639,47.97500638,0.205388431,5.060565556,44.75183516,5.425043776,,
